system,topic,score
input.anserini_qlrm3,t_818,0.6044
input.anserini_qlrm3,t_819,0.0934
input.anserini_qlrm3,t_820,0.2495
input.anserini_qlrm3,t_821,0.2281
input.anserini_qlrm3,t_822,0.2892
input.anserini_qlrm3,t_823,0.4631
input.anserini_qlrm3,t_824,0.5552
input.anserini_qlrm3,t_825,0.5087
input.anserini_qlsdm,t_321,0.2383
input.anserini_qlsdm,t_336,0.366
input.anserini_qlsdm,t_341,0.298
input.anserini_qlsdm,t_347,0.083
input.anserini_qlsdm,t_350,2e-04
input.anserini_qlsdm,t_362,0.1519
input.anserini_qlsdm,t_363,0.158
input.anserini_qlsdm,t_367,0.0795
input.anserini_qlsdm,t_375,0.3787
input.anserini_qlsdm,t_378,0.146
input.anserini_qlsdm,t_393,0.0375
input.anserini_qlsdm,t_397,0.1248
input.anserini_qlsdm,t_400,0.0966
input.anserini_qlsdm,t_408,0.0634
input.anserini_qlsdm,t_414,0.1474
input.anserini_qlsdm,t_422,0.0697
input.anserini_qlsdm,t_426,0.0886
input.anserini_qlsdm,t_427,0.0473
input.anserini_qlsdm,t_433,0.4871
input.anserini_qlsdm,t_439,0.0187
input.anserini_qlsdm,t_442,0.081
input.anserini_qlsdm,t_445,0.2451
input.anserini_qlsdm,t_626,0.2387
input.anserini_qlsdm,t_646,0.1006
input.anserini_qlsdm,t_690,0.0154
input.anserini_qlsdm,t_801,0.1267
input.anserini_qlsdm,t_802,0.4943
input.anserini_qlsdm,t_803,0.2294
input.anserini_qlsdm,t_804,0.1077
input.anserini_qlsdm,t_805,0.137
input.anserini_qlsdm,t_806,0.4151
input.anserini_qlsdm,t_807,0.8565
input.anserini_qlsdm,t_808,0.1024
input.anserini_qlsdm,t_809,0.5568
input.anserini_qlsdm,t_810,0.1913
input.anserini_qlsdm,t_811,0.5563
input.anserini_qlsdm,t_812,0.1383
input.anserini_qlsdm,t_813,0.1446
input.anserini_qlsdm,t_814,0.4878
input.anserini_qlsdm,t_815,0.3274
input.anserini_qlsdm,t_816,0.1337
input.anserini_qlsdm,t_817,0.4227
input.anserini_qlsdm,t_818,0.5009
input.anserini_qlsdm,t_819,0.0764
input.anserini_qlsdm,t_820,0.2117
input.anserini_qlsdm,t_821,0.2216
input.anserini_qlsdm,t_822,0.2005
input.anserini_qlsdm,t_823,0.3364
input.anserini_qlsdm,t_824,0.4358
input.anserini_qlsdm,t_825,0.4586
input.anserini_rm3,t_321,0.18
input.anserini_rm3,t_336,0.2719
input.anserini_rm3,t_341,0.3662
input.anserini_rm3,t_347,0.0871
input.anserini_rm3,t_350,3e-04
input.anserini_rm3,t_362,0.261
input.anserini_rm3,t_363,0.3401
input.anserini_rm3,t_367,0.0597
input.anserini_rm3,t_375,0.4827
input.anserini_rm3,t_378,0.1623
input.anserini_rm3,t_393,0.0029
input.anserini_rm3,t_397,0.367
input.anserini_rm3,t_400,0.1741
input.anserini_rm3,t_408,0.0668
input.anserini_rm3,t_414,0.1006
input.anserini_rm3,t_422,0.3546
input.anserini_rm3,t_426,0.2152
input.anserini_rm3,t_427,0.0265
input.anserini_rm3,t_433,0.0015
input.anserini_rm3,t_439,0.0272
input.anserini_rm3,t_442,0.0868
input.anserini_rm3,t_445,0.1953
input.anserini_rm3,t_626,0.389
input.anserini_rm3,t_646,0.0937
input.anserini_rm3,t_690,0.0102
input.anserini_rm3,t_801,0.1426
input.anserini_rm3,t_802,0.1485
input.anserini_rm3,t_803,0.3101
input.anserini_rm3,t_804,0.3274
input.anserini_rm3,t_805,0.1223
input.anserini_rm3,t_806,0.655
input.anserini_rm3,t_807,0.9087
input.anserini_rm3,t_808,0.1479
input.anserini_rm3,t_809,0.7843
input.anserini_rm3,t_810,0.1648
input.anserini_rm3,t_811,0.6008
input.anserini_rm3,t_812,0.1471
input.anserini_rm3,t_813,0.0841
input.anserini_rm3,t_814,0.6259
input.anserini_rm3,t_815,0.2833
input.anserini_rm3,t_816,0.1179
input.anserini_rm3,t_817,0.3862
input.anserini_rm3,t_818,0.6142
input.anserini_rm3,t_819,0.1114
input.anserini_rm3,t_820,0.2756
input.anserini_rm3,t_821,0.346
input.anserini_rm3,t_822,0.3093
input.anserini_rm3,t_823,0.4881
input.anserini_rm3,t_824,0.4943
input.anserini_rm3,t_825,0.4837
input.anserini_sdm,t_321,0.1666
input.anserini_sdm,t_336,0.4122
input.anserini_sdm,t_341,0.2784
